message,category,token
Здравствуйте в д Старый Бузец уже дня не чистят дороги от снега Нет возможности выехать на работу Работаю в такси аренду автомобиля необходимо платить а я выехать второй день не могу Стою вот посреди дороги застряв в снегу под которым лёд ,0,старый бузец день чистить дорога снег возможность выехать работа работать такси аренда автомобиль необходимый платить выехать второй день мочь стоить посреди дорога застрять снег который лед
ООО Управляющая Компания Мой Дом в лице учредителя Ситниковой Кристины Мгеровны и генерального директора Некрасовой Инны Юрьевны рассылают квитанции об оплате за управление многоквартирным жилым домом город Курск улица Орловская дом А с необоснованной задолженностью Просьба оказать посильную помощь и разобраться что у них там происходит после праздников спасибо ,3,ооо управлять компания дом лицо учредитель ситниковый кристина мгерович генеральный директор некрасов инна юрьевич рассылать квитанция оплата управление многоквартирный жилой дом город курск улица орловский дом необоснованный задолженность просьба оказать посильный помощь разобраться происходить праздник спасибо
 Добрый день мною ранее было опубликовано сообщение Сообщение от о неудовлетворительном содержании детской площадки по адресу г Курск ул Бойцов Дивизии д А Государственная жилищная инспекция Курской области дала ответ о том что данный вопрос направлен для рассмотрения в администрацию г Курска Хотелось бы узнать дальнейшее решение по вопросу ,3,ранее опубликовать сообщение сообщение неудовлетворительный содержание детский площадка адрес курск улица боец дивизия государственный жилищный инспекция курский область дать ответ данный вопрос направить рассмотрение администрация курск хотеться узнать дальнейший решение вопрос
Отсутствие люка,3,отсутствие люк
 Добрый день Прошу помощи в решении нашей проблемы Во дворе дома Орловская и дома Орловская на протяжении многих лет находится яма которая постоянно находится с водой Проехать на машине невозможно тем более пройти пешком ,0,просить помощь решение проблема двор дом орловский дома орловский протяжение многий год находится яма который постоянно находится вода проехать машина невозможный пройти пешком
 В центре города а архитектурные формы рассыпаются на глазах Судя по огромным трещинам - необходим капитальный ремонт ,3,центр город архитектурный форма рассыпаться глаз судя огромный трещина необходимый капитальный ремонт
 Старые гаражи рядом с звездной а Вокруг них закидано мусором бутылками ,3,старый гараж рядом звездный вокруг закидать мусор бутылка
 Дорога ,0,дорога
 Добрый день Сегодня напротив моего дома произошло ДТП с участием пешехода Не так давно проводилось благоустройство парка и был выложен из тротуарной плитки выход из этого самого парка к дороге К сожалению переход через проезжую часть от этого выхода не был обезопасен пешеходным переходом Данный участок дороги уже на протяжении многих лет является наиболее кротчайшим способом попасть через проезжую часть в частный сектор построек и пользуется большой популярностью у граждан престарелого возраста и школьников Переход со светофором который был установлен недалеко от этого места не исправил ситуацию и люди как переходили дорогу ниже по направлению к АПЗ- так и переходят Прошу Вас рассмотреть вариант установки знака Пешеходный переход и нанесение соответствующей разметки на данном участке с целью предотвращения возможных несчастных случаев с участием пешеходов а также для урегулирования скоростного режима транспортных средств которые многократно превышают скоростной лимит на данном участке дороги в ночное время суток тем самым подвергая дополнительной опасности граждан Благодарю за содействие Роман ,0,сегодня напротив дом произойти дтп участие пешеход давно проводиться благоустройство парк выложить тротуарный плитка выход парк дорога сожаление переход проезжий часть выход обезопасить пешеходный переход данный участок дорога протяжение многий год являться наиболее кроткий способ попасть проезжий часть частный сектор постройка пользоваться большой популярность гражданин престарелый возраст школьник переход светофор который установить недалеко место исправить ситуация человек переходить дорога низкий направление переходить просить рассмотреть вариант установка знак пешеходный переход нанесение соответствующий разметка данный участок цель предотвращение возможный несчастный случай участие пешеход также урегулирование скоростной режим транспортный средство который многократно превышать скоростной лимит данный участок дорога ночной время сутки самый подвергать дополнительный опасность гражданин благодарить содействие роман
 На улице Разина от дома практически полностью отсутствует тратуар Приходится взрослым и детям ходить по проезжей части дороги что не безопасно так как по тратуар вообще не реально пройти-можно остаться без ног Улица идёт под гору что приводит к постоянным проблемам особенно в зимний период Очень надеюсь на ваше решение проблемы Уличком ,3,улица разин дом практически полностью отсутствовать тротуар приходится взрослый ребенок ходить проезжий часть дорога безопасный тротуар вообще реально пройти-можно остаться нога улица идти гора приводить постоянный проблема особенно зимний период надеяться решение проблема уличком
 Отсутствует освещение дороги от начала проспекта Победы в том числе в районе пешеходного перехода от остановки Метеостанции со стороны улицы Тамчишина вдоль Аллеи Славы что создает опасность аварийной ситуации ,3,отсутствовать освещение дорога начало проспект победа число район пешеходный переход остановка метеостанция сторона улица тамчишин вдоль аллея слава создавать опасность аварийный ситуация
Прошу включить меня и мою семью в очередь на получение материальной помощи,6,просить включить семья очередь получение материальный помощь
 Здравствуйте Так как в ранее написанном сообщении - - - не была вовремя решена описанная проблема хотелось бы напомнить о ней снова В сообщении было написано что Администрацией ЦО было направленно - уведомление в адрес ТСЖ о необходимости проведения работ по наведению должного санитарного порядка по указанному адресу Хотелось бы попросить администрацию чтобы она повторно направила уведоление ТСЖ с напоминанием о необходимости наведения санитарного порядка так как на данном участке мусор и сухая листва продолжают лежать Так же хочется попросить убрать наконец-то сухой пень который лежит уже года два после выкорчевывания ,3,ранее написать сообщение во время решить описать проблема хотеться напомнить снова сообщение написать администрация цо направленный уведомление адрес тсж необходимость проведение работа наведение должный санитарный порядок указать адрес хотеться попросить администрация повторно направить уведомление тсж напоминание необходимость наведение санитарный порядок данный участок мусор сухой листва продолжать лежать хотеться попросить убрать наконец-то сухой пень который лежать год выкорчевывание
 Добрый день Просьба разобраться в ситуации возникшей в доме по ул Орловской подъезд Вечером июня была отключена подача холодной воды с связи с прорывом в одной из квартир Сегодня июня планово отключена горячая вода по всему северо-западному микрорайону По итогу в квартире нет ни холодной ни горячей воды Управляющая компания Жилкомплекс Дружба ситуацию не решает В квартире нет ни капли воды что делать жильцам и несовершеннолетним детям проживающим в данном подъезде ,3,просьба разобраться ситуация возникнуть дом улица орловский подъезд вечер июнь отключить подача холодный вода связь прорыв квартира сегодня июнь планово отключить горячий вода весь северо-западный микрорайон итог квартира холодный горячий вода управлять компания жилкомплекс дружба ситуация решать квартира капля вода делать жилец несовершеннолетний ребенок проживать данный подъезд
Засореная ливневая канализация ,3,засоренный ливневый канализация
Постоянно убираем территорию между крайними домами на проспекте Анатолия Дериглазова и СНТ Фестивальное но воз и ныне там по информации от дачников земельный участок на котором помойка на продан председателем СНТ и у этого несанкционированного полигона с отходами есть хозяева Кто виноват и что делать У нас и квартира на Дериглазова и дачный участок в СНТ Фестивальное эта ситуация уже достала где баки СНТ Непонятно или бака на такое огромное СНТ это позор но не повод гадить ,16,постоянно убирать территория крайний дом проспект анатолий дериглазов снт фестивальный воз ныне информация дачник земельный участок который помойка продать председатель снт несанкционированный полигон отход хозяин виноватый делать квартира дериглазов дачный участок снт фестивальный ситуация достать бак снт непонятно бак огромный снт позор повод гадить
 Напротив оп км по жд воляются спилинные ветки и очень много мусора хотелось бы что бы собственник инфраструктуры навёл порядок возле своего места а также до конца выпилил все дикоростущие растения Вы понимаете что часть сухих веток там воляются сейчас наша безумная молодёж может взять и пополнить а рядом дома там погорит все Надеюсь на понимание ,16,напротив оп километр жд валяются спиленный ветка мусор хотеться собственник инфраструктура навести порядок возле место также конец выпилить весь дикорастущий растение понимать часть сухой ветка валяться безумный молодежка мочь взять пополнить рядом дом погорит весь надеяться понимание
 В подвале дома по адресу ул Запольная д а произошел прорыв канализационной трубы Канализационные стоки не удалены появилось большое количество мошки Наша стоматология Эстедент находится через стенку от подвального помещения вся мошка и неприятный запах переходит в медицинское учреждение Поступают жалобы от пациентов и сотрудников стоматологии В таких условиях работать невозможно февраля г на почту ООО УК Курска и в диспетчерскую службу УК была оставлена заявка на проведение дезинсекции в подвальном помещении с просьбой в кратчайшие сроки решить эту проблему На г проблема не решена дезинсекция не проведена канализационные стоки не удалены мошки в огромном количестве благополучно летают в подвале мы лично убедились в этом посетив его и медицинском учреждении Каждый день звоним в ук результата нет сегодня дозвониться не удалось В подтверждение прикрепляю фото подоконника в кабинете стоматологии и заявку в ООО УК Курска от лица директора клиники Убедительная просьба помочь с решением этой проблемы т к из-за невыполнения обязанностей УК Курска мы находимся в антисанитарийных условиях - - ,3,подвал дом адрес улица запольный произойти прорыв канализационный труба канализационный сток удалить появиться большой количество мошка стоматология эстедент находится стенка подвальный помещение весь мошка неприятный запах переходить медицинский учреждение поступать жалоба пациент сотрудник стоматология условие работать невозможный февраль почта ооо ук курск диспетчерский служба ук оставить заявка проведение дезинсекция подвальный помещение просьба краткий срок решить проблема проблема решить дезинсекция провести канализационный сток удалить мошка огромный количество благополучно летать подвал лично убедиться посетить медицинский учреждение каждый день звонить ук результат сегодня дозвониться удаться подтверждение прикреплять фото подоконник кабинет стоматология заявка ооо ук курск лицо директор клиника убедительный просьба помочь решение проблема невыполнение обязанность ук курск находится антисанитарийный условие
По программе год дорог проходили работы при которых проходил ремонт дорожного полотна в районе дома Белгородская знак по завершению убрали а штыри в земле остались я паркуясь разодрал дно авто и повис на них прошу срезать или извлечь их в кратчайшие сроки,0,программа год дорога проходить работа который проходить ремонт дорожный полотно район дом белгородский знак завершение убрать штырь земля остаться паркуясь разобрать дно авто повиснуть просить срезать извлечь краткий срок
 Здравствуйте На ул Энгельса слева от здания ИФНС по г Курску расположен поврежденный столб уличного освещения прошу обратить внимание на этот объект и решить его дальнейшую судьбу ,3,улица энгельс слева здание ифнс курск расположить повредить столб уличный освещение просить обратить внимание объект решить дальнейший судьба
Добрый день на данной территории по улице республиканская около дороги с двух сторон от дороги новая республикаеская от магазина полет до магазина пятёрочка зарастает бурьяном примите меры по покосу травы Спасибо ,3,данный территория улица республиканский около дорога сторона дорога новый республиканский магазин полет магазин пятерочка зарастать бурьяном принять мера покос трава спасибо
 Прошу Вас сделать рейт по масочному режиму для маршруток Курск-Теткино-Курск Курск-Белгород-Курск и т д Ост Льговский поворот И посмотрите что Ваш масочный режим не соблюдает даже обслуживающий персонал водитель В ходе рейда прошу делать фотки С учетом того что я недавно ехала и в маршрутке было пассажиров с учетом водителя без масок разумеется у Вас не получиться - протоколов если что то успел надеть маску при виде Вас надо тоже составлять протокол Надеюсь на понимание и на фотоотчет А вообще Вам надо вести неприрывную видео-фиксацию дляпотверждения нарушения ,8,просить сделать рейт масочный режим маршрутка курск-теткино-курск курск-белгород-курск ост льговский поворот посмотреть масочный режим соблюдать обслуживать персонал водитель ход рейд просить делать фотка учет недавно ехать маршрутка пассажир учет водитель маска разумеется получиться протокол успеть надеть маска вид составлять протокол надеяться понимание фотоотчет вообще вести непрерывной видео-фиксация для подтверждение нарушение
 Прошу Вас включить освещения для того что бы люди могли идти по освещенному тротуару от вокзала О проделанной работе прошу прислать фотоотчет ,3,просить включить освещение человек мочь идти осветить тротуар вокзал проделать работа просить прислать фотоотчет
Не работает часть уличного освещения на ул Дейнеки,3,работать часть уличный освещение улица дейнека
 Добрый день После регулировки светофоров на данном участке светофор на главной дороге стал работать некорректно когда у водителей горит жёлтый сигнал у пешеходов загорается зелёный происходит одновременное движение автомобилей и пешеходов Рядом находится Дворец пионеров в котором занимаются тысячи детей Неоднократно на моих глазах чуть не сбивали людей Прошу принять меры спасибо ,0,регулировка светофор данный участок светофор главный дорога стать работать некорректно водитель гореть желтый сигнал пешеход загораться зеленый происходить одновременный движение автомобиль пешеход ряд находится дворец пионер который заниматься тысяча ребенок неоднократно глаз сбивать человек просить принять мера спасибо
По дороге от ул Карла Маркса в сторону п Искра сплошные ямы ямочный ремонт сделали абы как швы на дороге битумной смесью не пролили Прошу сделать качественно ,0,дорога улица карл маркс сторона искра сплошной яма ямочный ремонт сделать абы шов дорога битумный смесь пролить просить сделать качественно
 г Филиал ПАО Квадра-Курская генерация приступила к ремонту тепловых сетей по адресу г Курск ул лет Октября Разрыли частично огородили и на этом ремонт закончился до настоящего времени ремонтные работы не проводились Сегодня г все ограждения забрали ямы все открыты из-за обвала существует угроза для людей и транспорта Прошу принять меры ,3,филиал пао квадра-курский генерация приступить ремонт тепловой сеть адрес курск улица год октябрь разрыли частично огородить ремонт закончиться настоящий время ремонтный работа проводиться сегодня весь ограждение забрать яма открыть обвал существовать угроза человек транспорт просить принять мера
