message,category,token
"Здравствуйте, в д. Старый Бузец уже 3 дня не чистят дороги от снега. Нет возможности выехать на работу. Работаю в такси, аренду автомобиля необходимо платить, а я выехать второй день не могу. Стою вот посреди дороги, застряв в снегу, под которым лёд.",0,старый бузец день чистить дорога снег возможность выехать работа работать такси аренда автомобиль необходимый платить выехать второй день мочь стоить посреди дорога застрять снег который лед
"ООО Управляющая Компания «Мой Дом» в лице учредителя Ситниковой  Кристины Мгеровны и генерального директора Некрасовой Инны Юрьевны рассылают квитанции об оплате за «управление» многоквартирным жилым домом: город Курск, улица Орловская, дом 1 «А» с необоснованной задолженностью. 
Просьба оказать посильную помощь и разобраться что у них там происходит (после праздников), спасибо.",3,ооо управлять компания дом лицо учредитель ситниковый генеральный директор некрасов рассылать квитанция оплата управление многоквартирный жилой дом город курск улица орловский дом необоснованный задолженность просьба оказать посильный помощь разобраться происходить праздник спасибо
"<p>Добрый день, мною ранее было опубликовано сообщение ( Сообщение №:&nbsp;91063 от 17.05.2021) о неудовлетворительном содержании детской площадки, по адресу г. Курск ул. Бойцов 9 Дивизии, д.199 А. Государственная жилищная инспекция Курской области дала ответ о том, что данный вопрос направлен для рассмотрения в администрацию г.Курска. Хотелось бы узнать дальнейшее решение по вопросу.</p>",3,ранее опубликовать сообщение сообщение неудовлетворительный содержание детский площадка адрес курск улица боец дивизия государственный жилищный инспекция курский область дать ответ данный вопрос направить рассмотрение администрация курск хотеться узнать дальнейший решение вопрос
Отсутствие люка,3,отсутствие люк
"<p>Добрый день. Прошу помощи в решении нашей проблемы! Во дворе дома Орловская 12 и дома Орловская 16, на протяжении многих лет находится яма, которая постоянно находится с водой. Проехать на машине невозможно, тем более пройти пешком.</p>",0,просить помощь решение проблема двор дом орловский дома орловский протяжение многий год находиться яма который постоянно находиться вода проехать машина невозможный пройти пешком
"<p>В центре города, а архитектурные формы рассыпаются на глазах. Судя по огромным трещинам - необходим капитальный ремонт.</p>",3,центр город архитектурный форма рассыпаться глаз судя огромный трещина необходимый капитальный ремонт
<p>Старые гаражи рядом с звездной 11а. Вокруг них закидано мусором бутылками.</p>,3,старый гараж рядом звездный вокруг закидать мусор бутылка
<p>Дорога&nbsp;</p>,0,дорога
"<p>Добрый день. Сегодня 17.08.2021 напротив моего дома произошло ДТП с участием пешехода. Не так давно проводилось благоустройство парка и был выложен из тротуарной плитки выход из этого самого парка к дороге. К сожалению, переход через проезжую часть от этого выхода не был обезопасен пешеходным переходом. Данный участок дороги уже на протяжении многих лет является наиболее кротчайшим способом попасть через проезжую часть в частный сектор построек и пользуется большой популярностью у граждан престарелого возраста и школьников. Переход со светофором, который был установлен недалеко от этого места не исправил ситуацию и люди как переходили дорогу ниже по направлению к АПЗ-20, так и переходят. Прошу Вас рассмотреть вариант установки знака “Пешеходный переход” и нанесение соответствующей разметки на данном участке с целью предотвращения возможных несчастных случаев с участием пешеходов, а также для урегулирования скоростного режима транспортных средств, которые многократно превышают скоростной лимит на данном участке дороги в ночное время суток, тем самым подвергая дополнительной опасности граждан. Благодарю за содействие. Роман</p>",0,сегодня напротив дом произойти дтп участие пешеход давно проводиться благоустройство парк выложить тротуарный плитка выход парк дорога сожаление переход проезжий часть выход обезопасить пешеходный переход данный участок дорога протяжение многий год являться наиболее кроткий способ попасть проезжий часть частный сектор постройка пользоваться большой популярность гражданин престарелый возраст школьник переход светофор который установить недалеко место исправить ситуация человек переходить дорога низкий направление переходить просить рассмотреть вариант установка знак пешеходный переход нанесение соответствующий разметка данный участок цель предотвращение возможный несчастный случай участие пешеход также урегулирование скоростной режим транспортный средство который многократно превышать скоростной лимит данный участок дорога ночной время сутки самый подвергать дополнительный опасность гражданин благодарить содействие роман
"<p>На улице Разина от 9 дома практически полностью отсутствует тратуар. Приходится взрослым и детям &nbsp;ходить по проезжей части дороги, что не безопасно., так как по тратуар вообще не реально пройти-можно остаться без ног,. Улица идёт под гору, что приводит к постоянным проблемам особенно в зимний период. Очень надеюсь на ваше решение проблемы! Уличком</p>",3,улица разин дом практически полностью отсутствовать тратуар приходиться взрослый ребенок ходить проезжий часть дорога безопасный тратуар вообще реально пройти-можно остаться нога улица идти гора приводить постоянный проблема особенно зимний период надеяться решение проблема уличком
"<p>Отсутствует освещение дороги&nbsp;</p><p>от начала проспекта Победы, в том числе, в районе пешеходного перехода от остановки Метеостанции со стороны улицы Тамчишина вдоль Аллеи Славы, что создает опасность аварийной ситуации.</p>",3,отсутствовать освещение дорога начало проспект победа число район пешеходный переход остановка метеостанция сторона улица тамчишин вдоль аллея слава создавать опасность аварийный ситуация
Прошу включить меня и мою семью в очередь на получение материальной помощи,6,просить включить семья очередь получение материальный помощь
"<p>Здравствуйте.Так как в ранее написанном сообщении <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>№:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`>126712, не была вовремя решена описанная проблема,хотелось бы напомнить о ней снова.В сообщении №126712 было написано,что Администрацией ЦО,было направленно </span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>уведомление в адрес ТСЖ № 102&nbsp;о необходимости проведения работ по наведению должного санитарного порядка по указанному адресу.Хотелось бы попросить администрацию,чтобы она повторно направила уведоление ТСЖ 102,с напоминанием о необходимости наведения санитарного порядка,так как на данном участке мусор и сухая листва продолжают лежать)Так же хочется попросить убрать наконец-то сухой пень который лежит уже года два после выкорчевывания.</span></p>",3,ранее написать сообщение вовремя решить описать проблема хотеться напомнить снова сообщение написать администрация цо направленный уведомление адрес тсж необходимость проведение работа наведение должный санитарный порядок указать адрес хотеться попросить администрация повторно направить уведоление тсж напоминание необходимость наведение санитарный порядок данный участок мусор сухой листва продолжать лежать хотеться попросить убрать наконец-то сухой пень который лежать год выкорчевывание
"<p>Добрый день! Просьба разобраться в ситуации, возникшей в доме по ул. Орловской 1, подъезд 5. Вечером 14 июня 2021 была отключена подача холодной воды с связи с прорывом в одной из квартир. Сегодня, 16 июня 2021 планово отключена горячая вода по всему северо-западному микрорайону. По итогу, в квартире нет ни холодной, ни горячей воды. Управляющая компания Жилкомплекс &nbsp;Дружба ситуацию не решает. &nbsp;В квартире нет ни капли воды, что делать жильцам и несовершеннолетним детям, проживающим в данном подъезде?</p>",3,просьба разобраться ситуация возникнуть дом улица орловский подъезд вечер июнь отключить подача холодный вода связь прорыв квартира сегодня июнь планово отключить горячий вода весь северо-западный микрорайон итог квартира холодный горячий вода управлять компания жилкомплекс дружба ситуация решать квартира капля вода делать жилец несовершеннолетний ребенок проживать данный подъезд
Засореная ливневая канализация.,3,засореный ливневый канализация
"Постоянно убираем территорию между крайними домами на проспекте Анатолия Дериглазова и СНТ «Фестивальное», но «воз и ныне там», по информации от дачников земельный участок, на котором помойка 24 на 7, продан председателем СНТ и у этого несанкционированного полигона с отходами есть хозяева. Кто виноват и что делать? У нас и квартира на Дериглазова и дачный участок в СНТ «Фестивальное», эта ситуация уже достала, где баки СНТ? Непонятно! 1 или 2 бака на такое огромное СНТ это позор, но не повод гадить.",16,постоянно убирать территория крайний дом проспект снт фестивальный воз ныне информация дачник земельный участок который помойка продать председатель снт несанкционированный полигон отход хозяин виноватый делать квартира дачный участок снт фестивальный ситуация достать бак снт непонятно бак огромный снт позор повод гадить
"<p>Напротив оп 412 км (по жд) воляются спилинные ветки, и очень много мусора, хотелось бы что бы собственник инфраструктуры навёл порядок возле своего места, а также до конца выпилил все дикоростущие растения. Вы понимаете что часть сухих веток там воляются, сейчас наша безумная молодёж может взять и пополнить, а рядом дома, там погорит все.&nbsp;</p><p>Надеюсь на понимание.&nbsp;</p>",16,напротив оп километр жд воляются спилинный ветка мусор хотеться собственник инфраструктура навести порядок возле место также конец выпилить весь дикоростущий растение понимать часть сухой ветка воляться безумный молодежа мочь взять пополнить рядом дом погорит весь надеяться понимание
"<p>В подвале дома <span style=`color:rgb(34,34,204);`>по адресу ул.Запольная, д.41а</span> произошел прорыв канализационной трубы. Канализационные стоки не удалены, появилось большое количество мошки. Наша стоматология `Эстедент` находится через стенку от подвального помещения, вся мошка и неприятный запах переходит в медицинское учреждение!!! Поступают жалобы от пациентов и сотрудников стоматологии!!! В таких условиях работать невозможно!!!</p><p>10 февраля 2022г. &nbsp;на почту &nbsp;ООО “УК Курска” и в диспетчерскую службу УК была оставлена заявка на проведение дезинсекции в подвальном помещении, с просьбой в кратчайшие сроки решить эту проблему!&nbsp;</p><p>На&nbsp; 16.02.2022г. проблема не решена, дезинсекция не проведена,канализационные стоки не удалены, мошки в огромном количестве &nbsp;благополучно летают в подвале, мы лично убедились в этом, посетив его, и &nbsp;медицинском учреждении! &nbsp;Каждый день звоним в ук, результата нет, сегодня дозвониться не удалось!&nbsp;В подтверждение прикрепляю фото подоконника в кабинете стоматологии и заявку в ООО “УК Курска” от лица директора клиники.</p><p>Убедительная просьба помочь с решением этой проблемы, т.к. из-за невыполнения обязанностей “УК &nbsp;Курска”, мы находимся в антисанитарийных условиях!</p><p><br data-cke-filler=`true`></p>",3,подвал дом адрес улица запольный произойти прорыв канализационный труба канализационный сток удалить появиться большой количество мошка стоматология эстедент находиться стенка подвальный помещение весь мошка неприятный запах переходить медицинский учреждение поступать жалоба пациент сотрудник стоматология условие работать невозможный февраль почта ооо ук курск диспетчерский служба ук оставить заявка проведение дезинсекция подвальный помещение просьба краткий срок решить проблема проблема решить дезинсекция провести канализационный сток удалить мошка огромный количество благополучно летать подвал лично убедиться посетить медицинский учреждение каждый день звонить ук результат сегодня дозвониться удаться подтверждение прикреплять фото подоконник кабинет стоматология заявка ооо ук курск лицо директор клиника убедительный просьба помочь решение проблема невыполнение обязанность ук курск находиться антисанитарийный условие
"По программе «год дорог» проходили работы при которых проходил ремонт дорожного полотна в районе дома Белгородская 20, знак по завершению убрали, а штыри в земле остались, я паркуясь разодрал дно авто и повис на них, прошу срезать или извлечь их в кратчайшие сроки",0,программа год дорога проходить работа который проходить ремонт дорожный полотно район дом белгородский знак завершение убрать штырь земля остаться паркуясь разодрать дно авто повиснуть просить срезать извлечь краткий срок
"<p>Здравствуйте! На ул. Энгельса (слева от здания ИФНС по г. Курску) расположен поврежденный столб уличного освещения, прошу обратить внимание на этот объект и решить его дальнейшую судьбу.</p>",3,улица энгельс слева здание ифнс курск расположить повредить столб уличный освещение просить обратить внимание объект решить дальнейший судьба
Добрый день на данной территории по улице республиканская около дороги с двух сторон от дороги новая республикаеская от магазина полет до магазина пятёрочка зарастает бурьяном примите меры по покосу травы. Спасибо.,3,данный территория улица республиканский около дорога сторона дорога новый республикаеский магазин полет магазин пятерочка зарастать бурьяном принять мера покос трава спасибо
"<p>Прошу Вас сделать рейт по масочному режиму для маршруток Курск-Теткино-Курск, Курск-Белгород-Курск и т.д. Ост. Льговский поворот. И посмотрите что Ваш масочный режим не соблюдает даже обслуживающий персонал (водитель). В ходе рейда прошу делать фотки.&nbsp;</p><p>С учетом того что я недавно ехала и в маршрутке было 8 пассажиров с учетом водителя без масок, разумеется у Вас не получиться 5-6 протоколов, если что то успел надеть маску при виде Вас надо тоже составлять протокол. Надеюсь на понимание, и на фотоотчет.&nbsp;</p><p>А вообще Вам надо вести неприрывную видео-фиксацию дляпотверждения нарушения.&nbsp;</p>",8,просить сделать рейт масочный режим маршрутка курск-теткино-курск курск-белгород-курск ост льговский поворот посмотреть масочный режим соблюдать обслуживать персонал водитель ход рейд просить делать фотка учет недавно ехать маршрутка пассажир учет водитель маска разумеется получиться протокол успеть надеть маска вид составлять протокол надеяться понимание фотоотчет вообще вести неприрывной видео-фиксация дляпотверждение нарушение
"<p>Прошу Вас включить освещения, для того что бы люди могли идти по освещенному тротуару от вокзала.</p><p>О проделанной работе прошу прислать фотоотчет.</p>",3,просить включить освещение человек мочь идти осветить тротуар вокзал проделать работа просить прислать фотоотчет
Не работает часть уличного освещения на ул. Дейнеки,3,работать часть уличный освещение ул
"<p>Добрый день! После регулировки светофоров на данном участке светофор на главной дороге стал работать некорректно: когда у водителей горит жёлтый сигнал, у пешеходов загорается зелёный, происходит одновременное движение автомобилей и пешеходов. Рядом находится Дворец пионеров, в котором занимаются тысячи детей. Неоднократно на моих глазах чуть не сбивали людей. Прошу принять меры, спасибо!</p>",0,регулировка светофор данный участок светофор главный дорога стать работать некорректно водитель гореть желтый сигнал пешеход загораться зеленый происходить одновременный движение автомобиль пешеход ряд находиться дворец пионер который заниматься тысяча ребенок неоднократно глаз сбивать человек просить принять мера спасибо
"По дороге от ул. Карла Маркса в сторону п. Искра сплошные ямы, ямочный ремонт сделали абы как, швы на дороге битумной смесью не пролили. Прошу сделать качественно !!!",0,дорога улица сторона искра сплошной яма ямочный ремонт сделать абы шов дорога битумный смесь пролить просить сделать качественно
